Extraction_ID,Prep_ID,Date_DNA-extraction,Date_Qubit,Date_DNA_Dilution,plateID_S1,plate_col_S1,plate_row_S1,Date_S1_PCR,Date_S1BC,plateID_S2,plate_col_S2,plate_row_S2,FWD_barcode,REV_barcode,Date_S2_PCR,Date_GC_S2PCR,Date_S2BC,Date_GC_S2BC,Date_final-qubit,Sucsesfull-prep_(Y/N),
1,EF_LPBOOT_1,,,20260512,,,,20260504,20260505,,,,,,20260509,20260512,20260521,20260526,,Y,
2,AG_LPA_1,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc001,20260313,20260313,20260318,20260318,,Y,
3,AG_LPA_2,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc002,20260313,20260313,20260318,20260318,,Y,
4,AG_LPA_3,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc003,20260313,20260313,20260318,20260318,,Y,
5,EF_LPBOOT_2,,,20260512,,,,20260504,20260505,,,,,,20260509,20260512,20260521,20260526,,Y,
6,AG_LPA_4,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc004,20260313,20260313,20260318,20260318,,Y,
7,EF_LPBOOT_3,,,20260512,,,,20260504,20260505,,,,,,20260509,20260512,20260521,20260526,,Y,
8,EF_LPBOOT_4,,,20260512,,,,20260504,20260505,,,,,,20260509,20260512,20260521,20260526,,Y,
9,EF_LPBOOT_5,,,20260512,,,,20260504,20260505,,,,,,20260509,20260512,20260521,20260526,,Y,
10,EF_LPBOOT_6,,,20260512,,,,20260504,20260505,,,,,,20260509,20260512,20260521,20260526,,Y,
11,EF_LPC_1,,,20260728,SEKI-EF-LPC-S1,1,A,20260729,20260729,SEKI-EF-LPC-S2,1,A,PCR_F_bc003,PCR_R_bc001,,,,,,N,
11,EF_LPD_1,,,20260806,SEKI-LPD-EF-S1,N/A,N/A,20260811,20260812,SEKI_LPD_EF_S2-3.0,N/A,N/A,PCR_F_bc003,PCR_R_bc001,20260813,20260814,,,,Y,
12,AG_LPBOOT_1,,,20260505,SEKI-LPBOOT-AG-S1-1,,,20260505,20260506,SEKI-LPBOOT-AG-S2-1,,,PCR_F_bc002,PCR_R_bc002,20260507,20260510,20260724,,,Y,
13,EF_LPC_2,,,20260728,SEKI-EF-LPC-S1,1,B,20260729,20260729,SEKI-EF-LPC-S2,1,B,PCR_F_bc003,PCR_R_bc002,,,,,,N,
13,,,,,,,,,,,,,,,,,,,,,
14,AG_LPA_5,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc005,20260313,20260313,20260318,20260318,,Y,
15,AG_LPBOOT_2,,,20260505,SEKI-LPBOOT-AG-S1-1,,,20260505,20260506,SEKI-LPBOOT-AG-S2-1,,,PCR_F_bc002,PCR_R_bc003,20260507,20260510,,,,N,
16,EF_LPC_3,,,20260728,SEKI-EF-LPC-S1,1,C,20260729,20260729,SEKI-EF-LPC-S2,1,C,PCR_F_bc003,PCR_R_bc003,,,,,,N,
16,EF_LPD_2,,,20260806,SEKI-LPD-EF-S1,N/A,N/A,20260811,20260812,SEKI_LPD_EF_S2-3.0,N/A,N/A,PCR_F_bc003,PCR_R_bc002,20260813,20260814,,,,Y,
17,EF_LPC_4,,,20260728,SEKI-EF-LPC-S1,1,D,20260729,20260729,SEKI-EF-LPC-S2,1,D,PCR_F_bc003,PCR_R_bc004,,,,,,N,
17,EF_LPD_3,,,20260806,SEKI-LPD-EF-S1,N/A,N/A,20260811,20260812,SEKI_LPD_EF_S2-3.0,N/A,N/A,PCR_F_bc003,PCR_R_bc003,20260813,20260814,,,,Y,
18,EF_LPC_5,,,20260728,SEKI-EF-LPC-S1,1,E,20260729,20260729,SEKI-EF-LPC-S2,1,E,PCR_F_bc003,PCR_R_bc005,,,,,,N,
18,,,,,,,,,,,,,,,,,,,,,
19,AG_LPBOOT_3,,,20260505,SEKI-LPBOOT-AG-S1-1,,,20260505,20260506,SEKI-LPBOOT-AG-S2-1,,,PCR_F_bc002,PCR_R_bc004,20260507,20260510,,,,Y,
20,EF_LPC_6,,,20260728,SEKI-EF-LPC-S1,1,F,20260729,20260729,SEKI-EF-LPC-S2,1,F,PCR_F_bc003,PCR_R_bc006,,,,,,N,
20,,,,,,,,,,,,,,,,,,,,,
21,AG_LPA_6,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc006,20260313,20260313,20260318,20260318,,N,
22,EF_LPC_7,,,20260728,SEKI-EF-LPC-S1,1,G,20260729,20260729,SEKI-EF-LPC-S2,1,G,PCR_F_bc003,PCR_R_bc007,,,,,,N,
22,,,,,,,,,,,,,,,,,,,,,
23,AG_LPBOOT_4,,,20260505,SEKI-LPBOOT-AG-S1-1,,,20260505,20260506,SEKI-LPBOOT-AG-S2-1,,,PCR_F_bc002,PCR_R_bc005,20260507,20260510,,,,Y,
24,EF_LPC_8,,,20260728,SEKI-EF-LPC-S1,1,H,20260729,,,,,,,,,,,,N,
24,,,,,,,,,,,,,,,,,,,,,
25,AG_LPA_7,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc007,20260313,20260313,20260318,20260318,,Y,
26,AG_LPBOOT_5,,,20260505,SEKI-LPBOOT-AG-S1-1,,,20260505,20260506,SEKI-LPBOOT-AG-S2-1,,,PCR_F_bc002,PCR_R_bc006,20260507,20260510,,,,N,
27,EF_LPC_9,,,20260728,SEKI-EF-LPC-S1,2,A,20260729,20260729,SEKI-EF-LPC-S2,1,H,PCR_F_bc003,PCR_R_bc008,,,,,,N,
27,EF_LPD_4,,,20260806,SEKI-LPD-EF-S1,N/A,N/A,20260811,20260812,SEKI_LPD_EF_S2-3.0,N/A,N/A,PCR_F_bc003,PCR_R_bc004,20260813,20260814,,,,Y,
28,AG_LPBOOT_6,,,20260505,SEKI-LPBOOT-AG-S1-1,,,20260505,20260506,SEKI-LPBOOT-AG-S2-1,,,PCR_F_bc002,PCR_R_bc007,20260507,20260510,,,,N,
29,AG_LPA_8,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc008,20260313,20260313,20260318,20260318,,Y,
30,AG_LPBOOT_9,,,20260505,SEKI-LPBOOT-AG-S1-2,,,20260507,20260512,SEKI-LPBOOT-AG-S2-2,,,PCR_F_bc002,PCR_R_bc010,20260514,20260723,20260724,,,N,Primers still present and weak band but potentaly salvegable with bead clean
31,EF_LPC_10,,,20260728,SEKI-EF-LPC-S1,2,H,,,,,,,,,,,,,N,
31,,,,,,,,,,,,,,,,,,,,,
32,AG_LPBOOT_10,,,20260505,SEKI-LPBOOT-AG-S1-2,,,20260507,20260512,SEKI-LPBOOT-AG-S2-2,,,PCR_F_bc002,PCR_R_bc011,20260514,20260723,20260724,,,Y,
33,AG_LPBOOT_11,,,20260505,SEKI-LPBOOT-AG-S1-2,,,20260507,20260512,SEKI-LPBOOT-AG-S2-2,,,PCR_F_bc002,PCR_R_bc012,20260514,20260723,20260724,,,N,
34,EF_LPC_11,,,20260728,SEKI-EF-LPC-S1,2,C,20260729,20260729,SEKI-EF-LPC-S2,2,A,PCR_F_bc003,PCR_R_bc009,,,,,,N,
34,,,,,,,,,,,,,,,,,,,,,
35,EF_LPC_12,,,20260728,SEKI-EF-LPC-S1,2,H,,,,,,,,,,,,,N,
35,,,,,,,,,,,,,,,,,,,,,
36,EF_LPC_13,,,20260728,SEKI-EF-LPC-S1,2,E,20260729,20260729,SEKI-EF-LPC-S2,2,B,PCR_F_bc003,PCR_R_bc010,,,,,,N,
36,,,,,,,,,,,,,,,,,,,,,
37,EF_LPC_14,,,20260728,SEKI-EF-LPC-S1,2,F,20260729,20260729,SEKI-EF-LPC-S2,2,C,PCR_F_bc003,PCR_R_bc011,,,,,,N,
37,,,,,,,,,,,,,,,,,,,,,
38,EF_LPC_15,,,20260728,SEKI-EF-LPC-S1,2,G,20260729,20260729,SEKI-EF-LPC-S2,2,D,PCR_F_bc003,PCR_R_bc012,,,,,,N,
38,,,,,,,,,,,,,,,,,,,,,
39,EF_LPC_16,,,20260728,SEKI-EF-LPC-S1,2,H,20260729,,,,,,,,,,,,N,
39,,,,,,,,,,,,,,,,,,,,,
40,EF_LPC_17,,,20260728,SEKI-EF-LPC-S1,3,A,20260729,20260729,SEKI-EF-LPC-S2,2,E,PCR_F_bc003,PCR_R_bc013,,,,,,N,
